tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=491 subject=M09 event=survival_changed result=health:100->100,satiety:50->49,energy:30->29
tick=491 subject=M10 event=survival_changed result=health:100->100,satiety:80->79,energy:40->39
tick=491 subject=M11 event=survival_changed result=health:100->100,satiety:80->79,energy:30->29
tick=491 subject=M12 event=survival_changed result=health:100->100,satiety:70->69,energy:20->19
tick=492 subject=M01 event=survival_changed result=health:100->100,satiety:74->73,energy:24->23
tick=492 subject=M03 event=survival_changed result=health:100->100,satiety:69->68,energy:29->28
tick=492 subject=M04 event=survival_changed result=health:100->100,satiety:54->53,energy:24->23
tick=492 subject=M05 event=survival_changed result=health:100->100,satiety:64->63,energy:34->33
tick=492 subject=M06 event=survival_changed result=health:100->100,satiety:39->38,energy:39->38
tick=492 subject=M07 event=survival_changed result=health:100->100,satiety:69->68,energy:29->28
tick=492 subject=M08 event=survival_changed result=health:100->100,satiety:89->88,energy:49->48
tick=492 subject=M09 event=survival_changed result=health:100->100,satiety:49->48,energy:29->28
tick=492 subject=M10 event=survival_changed result=health:100->100,satiety:79->78,energy:39->38
tick=492 subject=M11 event=survival_changed result=health:100->100,satiety:79->78,energy:29->28
tick=492 subject=M12 event=survival_changed result=health:100->100,satiety:69->68,energy:39->38
tick=493 subject=M01 event=survival_changed result=health:100->100,satiety:73->72,energy:23->22
tick=493 subject=M03 event=survival_changed result=health:100->100,satiety:68->67,energy:28->27
tick=493 subject=M04 event=food_consumed result=food:F0296,class:medium,satiety:53->83,energy:23->33
tick=493 subject=M04 event=survival_changed result=health:100->100,satiety:83->82,energy:33->32
tick=493 subject=M05 event=survival_changed result=health:100->100,satiety:63->62,energy:33->32
tick=493 subject=M06 event=survival_changed result=health:100->100,satiety:38->37,energy:38->37
tick=493 subject=M07 event=survival_changed result=health:100->100,satiety:68->67,energy:28->27
tick=493 subject=M08 event=survival_changed result=health:100->100,satiety:88->87,energy:48->47
tick=493 subject=M09 event=survival_changed result=health:100->100,satiety:48->47,energy:28->27
tick=493 subject=M10 event=survival_changed result=health:100->100,satiety:78->77,energy:38->37
tick=493 subject=M11 event=survival_changed result=health:100->100,satiety:78->77,energy:28->27
tick=493 subject=M12 event=survival_changed result=health:100->100,satiety:68->67,energy:38->37
tick=494 subject=M01 event=survival_changed result=health:100->100,satiety:72->71,energy:22->21
tick=494 subject=M03 event=survival_changed result=health:100->100,satiety:67->66,energy:27->26
tick=494 subject=M04 event=survival_changed result=health:100->100,satiety:82->81,energy:32->31
tick=494 subject=M05 event=survival_changed result=health:100->100,satiety:62->61,energy:32->31
tick=494 subject=M06 event=survival_changed result=health:100->100,satiety:37->36,energy:37->36
tick=494 subject=M07 event=survival_changed result=health:100->100,satiety:67->66,energy:27->26
tick=494 subject=M08 event=survival_changed result=health:100->100,satiety:87->86,energy:47->46
tick=494 subject=M09 event=survival_changed result=health:100->100,satiety:47->46,energy:27->26
tick=494 subject=M10 event=survival_changed result=health:100->100,satiety:77->76,energy:37->36
tick=494 subject=M11 event=survival_changed result=health:100->100,satiety:77->76,energy:27->26
tick=494 subject=M12 event=survival_changed result=health:100->100,satiety:67->66,energy:37->36
tick=495 subject=M01 event=survival_changed result=health:100->100,satiety:71->70,energy:21->20
tick=495 subject=M03 event=survival_changed result=health:100->100,satiety:66->65,energy:26->25
tick=495 subject=M04 event=survival_changed result=health:100->100,satiety:81->80,energy:31->30
tick=495 subject=M05 event=survival_changed result=health:100->100,satiety:61->60,energy:31->30
tick=495 subject=M06 event=survival_changed result=health:100->100,satiety:36->35,energy:36->35
tick=495 subject=M07 event=survival_changed result=health:100->100,satiety:66->65,energy:26->25
tick=495 subject=M08 event=survival_changed result=health:100->100,satiety:86->85,energy:46->45
tick=495 subject=M09 event=food_consumed result=food:F0291,class:high,satiety:46->96,energy:26->46
tick=495 subject=M09 event=survival_changed result=health:100->100,satiety:96->95,energy:46->45
tick=495 subject=M10 event=survival_changed result=health:100->100,satiety:76->75,energy:36->35
tick=495 subject=M11 event=food_consumed result=food:F0299,class:low,satiety:76->91,energy:26->31
tick=495 subject=M11 event=survival_changed result=health:100->100,satiety:91->90,energy:31->30
tick=495 subject=M12 event=survival_changed result=health:100->100,satiety:66->65,energy:36->35
tick=496 subject=M01 event=survival_changed result=health:100->100,satiety:70->69,energy:20->19
tick=496 subject=M03 event=survival_changed result=health:100->100,satiety:65->64,energy:25->24
tick=496 subject=M04 event=survival_changed result=health:100->100,satiety:80->79,energy:30->29
tick=496 subject=M05 event=survival_changed result=health:100->100,satiety:60->59,energy:30->29
tick=496 subject=M06 event=survival_changed result=health:100->100,satiety:35->34,energy:35->34
tick=496 subject=M07 event=survival_changed result=health:100->100,satiety:65->64,energy:25->24
tick=496 subject=M08 event=survival_changed result=health:100->100,satiety:85->84,energy:45->44
tick=496 subject=M09 event=survival_changed result=health:100->100,satiety:95->94,energy:45->44
tick=496 subject=M10 event=survival_changed result=health:100->100,satiety:75->74,energy:35->34
tick=496 subject=M11 event=survival_changed result=health:100->100,satiety:90->89,energy:30->29
tick=496 subject=M12 event=survival_changed result=health:100->100,satiety:65->64,energy:35->34
tick=497 subject=M01 event=survival_changed result=health:100->100,satiety:69->68,energy:39->38
tick=497 subject=M03 event=survival_changed result=health:100->100,satiety:64->63,energy:24->23
tick=497 subject=M04 event=survival_changed result=health:100->100,satiety:79->78,energy:29->28
tick=497 subject=M05 event=survival_changed result=health:100->100,satiety:59->58,energy:29->28
tick=497 subject=M06 event=survival_changed result=health:100->100,satiety:34->33,energy:34->33
tick=497 subject=M07 event=survival_changed result=health:100->100,satiety:64->63,energy:24->23
tick=497 subject=M08 event=survival_changed result=health:100->100,satiety:84->83,energy:44->43
tick=497 subject=M09 event=survival_changed result=health:100->100,satiety:94->93,energy:44->43
tick=497 subject=M10 event=survival_changed result=health:100->100,satiety:74->73,energy:34->33
tick=497 subject=M11 event=survival_changed result=health:100->100,satiety:89->88,energy:29->28
tick=497 subject=M12 event=survival_changed result=health:100->100,satiety:64->63,energy:34->33
tick=498 subject=M01 event=survival_changed result=health:100->100,satiety:68->67,energy:38->37
tick=498 subject=M03 event=food_consumed result=food:F0298,class:medium,satiety:63->93,energy:23->33
tick=498 subject=M03 event=survival_changed result=health:100->100,satiety:93->92,energy:33->32
tick=498 subject=M04 event=survival_changed result=health:100->100,satiety:78->77,energy:28->27
tick=498 subject=M05 event=survival_changed result=health:100->100,satiety:58->57,energy:28->27
tick=498 subject=M06 event=survival_changed result=health:100->100,satiety:33->32,energy:33->32
tick=498 subject=M07 event=survival_changed result=health:100->100,satiety:63->62,energy:23->22
tick=498 subject=M08 event=survival_changed result=health:100->100,satiety:83->82,energy:43->42
tick=498 subject=M09 event=survival_changed result=health:100->100,satiety:93->92,energy:43->42
tick=498 subject=M10 event=survival_changed result=health:100->100,satiety:73->72,energy:33->32
tick=498 subject=M11 event=survival_changed result=health:100->100,satiety:88->87,energy:28->27
tick=498 subject=M12 event=survival_changed result=health:100->100,satiety:63->62,energy:33->32
tick=499 subject=M01 event=survival_changed result=health:100->100,satiety:67->66,energy:37->36
tick=499 subject=M03 event=survival_changed result=health:100->100,satiety:92->91,energy:32->31
tick=499 subject=M04 event=survival_changed result=health:100->100,satiety:77->76,energy:27->26
tick=499 subject=M05 event=survival_changed result=health:100->100,satiety:57->56,energy:27->26
tick=499 subject=M06 event=survival_changed result=health:100->100,satiety:32->31,energy:32->31
tick=499 subject=M07 event=survival_changed result=health:100->100,satiety:62->61,energy:22->21
tick=499 subject=M08 event=survival_changed result=health:100->100,satiety:82->81,energy:42->41
tick=499 subject=M09 event=survival_changed result=health:100->100,satiety:92->91,energy:42->41
tick=499 subject=M10 event=survival_changed result=health:100->100,satiety:72->71,energy:32->31
tick=499 subject=M11 event=survival_changed result=health:100->100,satiety:87->86,energy:27->26
tick=499 subject=M12 event=survival_changed result=health:100->100,satiety:62->61,energy:32->31
tick=500 subject=M01 event=survival_changed result=health:100->100,satiety:66->65,energy:36->35
tick=500 subject=M03 event=survival_changed result=health:100->100,satiety:91->90,energy:31->30
tick=500 subject=M04 event=survival_changed result=health:100->100,satiety:76->75,energy:26->25
tick=500 subject=M05 event=survival_changed result=health:100->100,satiety:56->55,energy:26->25
tick=500 subject=M06 event=survival_changed result=health:100->100,satiety:31->30,energy:31->30
tick=500 subject=M07 event=survival_changed result=health:100->100,satiety:61->60,energy:21->20
tick=500 subject=M08 event=survival_changed result=health:100->100,satiety:81->80,energy:41->40
tick=500 subject=M09 event=survival_changed result=health:100->100,satiety:91->90,energy:41->40
tick=500 subject=M10 event=survival_changed result=health:100->100,satiety:71->70,energy:31->30
tick=500 subject=M11 event=survival_changed result=health:100->100,satiety:86->85,energy:26->25
tick=500 subject=M12 event=survival_changed result=health:100->100,satiety:61->60,energy:31->30
tick=500 subject=A event=food_regenerated result=food:F0305,class:medium,position:114:17
tick=500 subject=A event=food_regenerated result=food:F0306,class:high,position:111:30
tick=500 subject=B event=food_regenerated result=food:F0307,class:high,position:21:109
tick=500 subject=B event=food_regenerated result=food:F0308,class:high,position:84:76
tick=501 subject=M01 event=survival_changed result=health:100->100,satiety:65->64,energy:35->34
tick=501 subject=M03 event=survival_changed result=health:100->100,satiety:90->89,energy:30->29
tick=501 subject=M04 event=survival_changed result=health:100->100,satiety:75->74,energy:25->24
tick=501 subject=M05 event=survival_changed result=health:100->100,satiety:55->54,energy:25->24
tick=501 subject=M06 event=survival_changed result=health:100->100,satiety:30->29,energy:30->29
tick=501 subject=M07 event=survival_changed result=health:100->100,satiety:60->59,energy:20->19
tick=501 subject=M08 event=survival_changed result=health:100->100,satiety:80->79,energy:40->39
tick=501 subject=M09 event=survival_changed result=health:100->100,satiety:90->89,energy:40->39
tick=501 subject=M10 event=survival_changed result=health:100->100,satiety:70->69,energy:30->29
tick=501 subject=M11 event=survival_changed result=health:100->100,satiety:85->84,energy:25->24
tick=501 subject=M12 event=survival_changed result=health:100->100,satiety:60->59,energy:30->29
tick=502 subject=M01 event=survival_changed result=health:100->100,satiety:64->63,energy:34->33
tick=502 subject=M03 event=survival_changed result=health:100->100,satiety:89->88,energy:29->28
tick=502 subject=M04 event=survival_changed result=health:100->100,satiety:74->73,energy:24->23
tick=502 subject=M05 event=survival_changed result=health:100->100,satiety:54->53,energy:24->23
tick=502 subject=M06 event=survival_changed result=health:100->100,satiety:29->28,energy:29->28
tick=502 subject=M07 event=survival_changed result=health:100->100,satiety:59->58,energy:39->38
tick=502 subject=M08 event=survival_changed result=health:100->100,satiety:79->78,energy:39->38
tick=502 subject=M09 event=survival_changed result=health:100->100,satiety:89->88,energy:39->38
tick=502 subject=M10 event=survival_changed result=health:100->100,satiety:69->68,energy:29->28
tick=502 subject=M11 event=survival_changed result=health:100->100,satiety:84->83,energy:24->23
tick=502 subject=M12 event=survival_changed result=health:100->100,satiety:59->58,energy:29->28
tick=503 subject=M01 event=survival_changed result=health:100->100,satiety:63->62,energy:33->32
tick=503 subject=M03 event=survival_changed result=health:100->100,satiety:88->87,energy:28->27
tick=503 subject=M04 event=survival_changed result=health:100->100,satiety:73->72,energy:23->22
tick=503 subject=M05 event=survival_changed result=health:100->100,satiety:53->52,energy:23->22
tick=503 subject=M06 event=survival_changed result=health:100->100,satiety:28->27,energy:28->27
tick=503 subject=M07 event=survival_changed result=health:100->100,satiety:58->57,energy:38->37
tick=503 subject=M08 event=survival_changed result=health:100->100,satiety:78->77,energy:38->37
tick=503 subject=M09 event=survival_changed result=health:100->100,satiety:88->87,energy:38->37
tick=503 subject=M10 event=survival_changed result=health:100->100,satiety:68->67,energy:28->27
tick=503 subject=M11 event=survival_changed result=health:100->100,satiety:83->82,energy:23->22
tick=503 subject=M12 event=survival_changed result=health:100->100,satiety:58->57,energy:28->27
tick=504 subject=M01 event=food_consumed result=food:F0292,class:low,satiety:62->77,energy:32->37
tick=504 subject=M01 event=survival_changed result=health:100->100,satiety:77->76,energy:37->36
tick=504 subject=M03 event=survival_changed result=health:100->100,satiety:87->86,energy:27->26
tick=504 subject=M04 event=survival_changed result=health:100->100,satiety:72->71,energy:22->21
tick=504 subject=M05 event=survival_changed result=health:100->100,satiety:52->51,energy:22->21
tick=504 subject=M06 event=survival_changed result=health:100->100,satiety:27->26,energy:27->26
tick=504 subject=M07 event=food_consumed result=food:F0279,class:medium,satiety:57->87,energy:37->47
tick=504 subject=M07 event=survival_changed result=health:100->100,satiety:87->86,energy:47->46
tick=504 subject=M08 event=survival_changed result=health:100->100,satiety:77->76,energy:37->36
tick=504 subject=M09 event=survival_changed result=health:100->100,satiety:87->86,energy:37->36
tick=504 subject=M10 event=survival_changed result=health:100->100,satiety:67->66,energy:27->26
tick=504 subject=M11 event=survival_changed result=health:100->100,satiety:82->81,energy:22->21
tick=504 subject=M12 event=survival_changed result=health:100->100,satiety:57->56,energy:27->26
tick=505 subject=M01 event=survival_changed result=health:100->100,satiety:76->75,energy:36->35
tick=505 subject=M03 event=survival_changed result=health:100->100,satiety:86->85,energy:26->25
tick=505 subject=M04 event=survival_changed result=health:100->100,satiety:71->70,energy:21->20
tick=505 subject=M05 event=survival_changed result=health:100->100,satiety:51->50,energy:21->20
tick=505 subject=M06 event=survival_changed result=health:100->100,satiety:26->25,energy:26->25
tick=505 subject=M07 event=survival_changed result=health:100->100,satiety:86->85,energy:46->45
tick=505 subject=M08 event=survival_changed result=health:100->100,satiety:76->75,energy:36->35
tick=505 subject=M09 event=survival_changed result=health:100->100,satiety:86->85,energy:36->35
tick=505 subject=M10 event=survival_changed result=health:100->100,satiety:66->65,energy:26->25
tick=505 subject=M11 event=survival_changed result=health:100->100,satiety:81->80,energy:21->20
tick=505 subject=M12 event=survival_changed result=health:100->100,satiety:56->55,energy:26->25
tick=506 subject=M01 event=survival_changed result=health:100->100,satiety:75->74,energy:35->34
tick=506 subject=M03 event=survival_changed result=health:100->100,satiety:85->84,energy:25->24
tick=506 subject=M04 event=survival_changed result=health:100->100,satiety:70->69,energy:20->19
tick=506 subject=M05 event=survival_changed result=health:100->100,satiety:50->49,energy:20->19
tick=506 subject=M06 event=survival_changed result=health:100->100,satiety:25->24,energy:25->24
tick=506 subject=M07 event=survival_changed result=health:100->100,satiety:85->84,energy:45->44
tick=506 subject=M08 event=survival_changed result=health:100->100,satiety:75->74,energy:35->34
tick=506 subject=M09 event=survival_changed result=health:100->100,satiety:85->84,energy:35->34
tick=506 subject=M10 event=survival_changed result=health:100->100,satiety:65->64,energy:25->24
tick=506 subject=M11 event=survival_changed result=health:100->100,satiety:80->79,energy:20->19
tick=506 subject=M12 event=survival_changed result=health:100->100,satiety:55->54,energy:25->24
tick=507 subject=M01 event=survival_changed result=health:100->100,satiety:74->73,energy:34->33
tick=507 subject=M03 event=survival_changed result=health:100->100,satiety:84->83,energy:24->23
tick=507 subject=M04 event=food_consumed result=food:F0302,class:low,satiety:69->84,energy:19->24
tick=507 subject=M04 event=survival_changed result=health:100->100,satiety:84->83,energy:24->23
tick=507 subject=M05 event=survival_changed result=health:100->100,satiety:49->48,energy:39->38
tick=507 subject=M06 event=survival_changed result=health:100->100,satiety:24->23,energy:24->23
tick=507 subject=M07 event=survival_changed result=health:100->100,satiety:84->83,energy:44->43
tick=507 subject=M08 event=survival_changed result=health:100->100,satiety:74->73,energy:34->33
tick=507 subject=M09 event=survival_changed result=health:100->100,satiety:84->83,energy:34->33
tick=507 subject=M10 event=survival_changed result=health:100->100,satiety:64->63,energy:24->23
tick=507 subject=M11 event=survival_changed result=health:100->100,satiety:79->78,energy:39->38
tick=507 subject=M12 event=survival_changed result=health:100->100,satiety:54->53,energy:24->23
tick=508 subject=M01 event=survival_changed result=health:100->100,satiety:73->72,energy:33->32
tick=508 subject=M03 event=survival_changed result=health:100->100,satiety:83->82,energy:23->22
tick=508 subject=M04 event=survival_changed result=health:100->100,satiety:83->82,energy:23->22
tick=508 subject=M05 event=survival_changed result=health:100->100,satiety:48->47,energy:38->37
tick=508 subject=M06 event=food_consumed result=food:F0027,class:high,satiety:23->73,energy:23->43
tick=508 subject=M06 event=survival_changed result=health:100->100,satiety:73->72,energy:43->42
tick=508 subject=M07 event=survival_changed result=health:100->100,satiety:83->82,energy:43->42
tick=508 subject=M08 event=survival_changed result=health:100->100,satiety:73->72,energy:33->32
tick=508 subject=M09 event=survival_changed result=health:100->100,satiety:83->82,energy:33->32
tick=508 subject=M10 event=survival_changed result=health:100->100,satiety:63->62,energy:23->22
tick=508 subject=M11 event=survival_changed result=health:100->100,satiety:78->77,energy:38->37
tick=508 subject=M12 event=survival_changed result=health:100->100,satiety:53->52,energy:23->22
tick=509 subject=M01 event=survival_changed result=health:100->100,satiety:72->71,energy:32->31
tick=509 subject=M03 event=survival_changed result=health:100->100,satiety:82->81,energy:22->21
tick=509 subject=M04 event=survival_changed result=health:100->100,satiety:82->81,energy:22->21
tick=509 subject=M05 event=survival_changed result=health:100->100,satiety:47->46,energy:37->36
tick=509 subject=M06 event=survival_changed result=health:100->100,satiety:72->71,energy:42->41
tick=509 subject=M07 event=survival_changed result=health:100->100,satiety:82->81,energy:42->41
tick=509 subject=M08 event=survival_changed result=health:100->100,satiety:72->71,energy:32->31
tick=509 subject=M09 event=survival_changed result=health:100->100,satiety:82->81,energy:32->31
tick=509 subject=M10 event=survival_changed result=health:100->100,satiety:62->61,energy:22->21
tick=509 subject=M11 event=survival_changed result=health:100->100,satiety:77->76,energy:37->36
tick=509 subject=M12 event=survival_changed result=health:100->100,satiety:52->51,energy:22->21
tick=510 subject=M01 event=survival_changed result=health:100->100,satiety:71->70,energy:31->30
tick=510 subject=M03 event=survival_changed result=health:100->100,satiety:81->80,energy:21->20
tick=510 subject=M04 event=survival_changed result=health:100->100,satiety:81->80,energy:21->20
tick=510 subject=M05 event=survival_changed result=health:100->100,satiety:46->45,energy:36->35
tick=510 subject=M06 event=survival_changed result=health:100->100,satiety:71->70,energy:41->40
tick=510 subject=M07 event=survival_changed result=health:100->100,satiety:81->80,energy:41->40
tick=510 subject=M08 event=survival_changed result=health:100->100,satiety:71->70,energy:31->30
tick=510 subject=M09 event=survival_changed result=health:100->100,satiety:81->80,energy:31->30
tick=510 subject=M10 event=survival_changed result=health:100->100,satiety:61->60,energy:21->20
tick=510 subject=M11 event=survival_changed result=health:100->100,satiety:76->75,energy:36->35
tick=510 subject=M12 event=survival_changed result=health:100->100,satiety:51->50,energy:21->20
tick=510 subject=A event=food_regenerated result=food:F0309,class:low,position:24:40
tick=510 subject=A event=food_regenerated result=food:F0310,class:low,position:27:46
tick=510 subject=B event=food_regenerated result=food:F0311,class:medium,position:30:72
tick=510 subject=B event=food_regenerated result=food:F0312,class:low,position:26:123
tick=511 subject=M01 event=survival_changed result=health:100->100,satiety:70->69,energy:30->29
tick=511 subject=M03 event=survival_changed result=health:100->100,satiety:80->79,energy:20->19
tick=511 subject=M04 event=survival_changed result=health:100->100,satiety:80->79,energy:20->19
tick=511 subject=M05 event=survival_changed result=health:100->100,satiety:45->44,energy:35->34
tick=511 subject=M06 event=survival_changed result=health:100->100,satiety:70->69,energy:40->39
tick=511 subject=M07 event=survival_changed result=health:100->100,satiety:80->79,energy:40->39
tick=511 subject=M08 event=survival_changed result=health:100->100,satiety:70->69,energy:30->29
tick=511 subject=M09 event=survival_changed result=health:100->100,satiety:80->79,energy:30->29
tick=511 subject=M10 event=survival_changed result=health:100->100,satiety:60->59,energy:20->19
tick=511 subject=M11 event=survival_changed result=health:100->100,satiety:75->74,energy:35->34
tick=511 subject=M12 event=survival_changed result=health:100->100,satiety:50->49,energy:20->19
tick=512 subject=M01 event=survival_changed result=health:100->100,satiety:69->68,energy:29->28
tick=512 subject=M03 event=survival_changed result=health:100->100,satiety:79->78,energy:39->38
tick=512 subject=M04 event=survival_changed result=health:100->100,satiety:79->78,energy:39->38
tick=512 subject=M05 event=survival_changed result=health:100->100,satiety:44->43,energy:34->33
tick=512 subject=M06 event=survival_changed result=health:100->100,satiety:69->68,energy:39->38
tick=512 subject=M07 event=survival_changed result=health:100->100,satiety:79->78,energy:39->38
tick=512 subject=M08 event=survival_changed result=health:100->100,satiety:69->68,energy:29->28
tick=512 subject=M09 event=survival_changed result=health:100->100,satiety:79->78,energy:29->28
tick=512 subject=M10 event=survival_changed result=health:100->100,satiety:59->58,energy:39->38
tick=512 subject=M11 event=survival_changed result=health:100->100,satiety:74->73,energy:34->33
tick=512 subject=M12 event=survival_changed result=health:100->100,satiety:49->48,energy:39->38
tick=513 subject=M01 event=survival_changed result=health:100->100,satiety:68->67,energy:28->27
tick=513 subject=M03 event=survival_changed result=health:100->100,satiety:78->77,energy:38->37
tick=513 subject=M04 event=survival_changed result=health:100->100,satiety:78->77,energy:38->37
tick=513 subject=M05 event=survival_changed result=health:100->100,satiety:43->42,energy:33->32
tick=513 subject=M06 event=survival_changed result=health:100->100,satiety:68->67,energy:38->37
tick=513 subject=M07 event=survival_changed result=health:100->100,satiety:78->77,energy:38->37
tick=513 subject=M08 event=survival_changed result=health:100->100,satiety:68->67,energy:28->27
tick=513 subject=M09 event=survival_changed result=health:100->100,satiety:78->77,energy:28->27
tick=513 subject=M10 event=survival_changed result=health:100->100,satiety:58->57,energy:38->37
tick=513 subject=M11 event=survival_changed result=health:100->100,satiety:73->72,energy:33->32
tick=513 subject=M12 event=survival_changed result=health:100->100,satiety:48->47,energy:38->37
tick=514 subject=M01 event=survival_changed result=health:100->100,satiety:67->66,energy:27->26
tick=514 subject=M03 event=survival_changed result=health:100->100,satiety:77->76,energy:37->36
tick=514 subject=M04 event=survival_changed result=health:100->100,satiety:77->76,energy:37->36
tick=514 subject=M05 event=survival_changed result=health:100->100,satiety:42->41,energy:32->31
tick=514 subject=M06 event=survival_changed result=health:100->100,satiety:67->66,energy:37->36
tick=514 subject=M07 event=survival_changed result=health:100->100,satiety:77->76,energy:37->36
tick=514 subject=M08 event=survival_changed result=health:100->100,satiety:67->66,energy:27->26
tick=514 subject=M09 event=survival_changed result=health:100->100,satiety:77->76,energy:27->26
tick=514 subject=M10 event=survival_changed result=health:100->100,satiety:57->56,energy:37->36
tick=514 subject=M11 event=survival_changed result=health:100->100,satiety:72->71,energy:32->31
tick=514 subject=M12 event=survival_changed result=health:100->100,satiety:47->46,energy:37->36
tick=515 subject=M01 event=survival_changed result=health:100->100,satiety:66->65,energy:26->25
tick=515 subject=M03 event=survival_changed result=health:100->100,satiety:76->75,energy:36->35
tick=515 subject=M04 event=survival_changed result=health:100->100,satiety:76->75,energy:36->35
tick=515 subject=M05 event=food_consumed result=food:F0274,class:high,satiety:41->91,energy:31->51
tick=515 subject=M05 event=survival_changed result=health:100->100,satiety:91->90,energy:51->50
tick=515 subject=M06 event=survival_changed result=health:100->100,satiety:66->65,energy:36->35
tick=515 subject=M07 event=survival_changed result=health:100->100,satiety:76->75,energy:36->35
tick=515 subject=M08 event=survival_changed result=health:100->100,satiety:66->65,energy:26->25
tick=515 subject=M09 event=survival_changed result=health:100->100,satiety:76->75,energy:26->25
tick=515 subject=M10 event=survival_changed result=health:100->100,satiety:56->55,energy:36->35
tick=515 subject=M11 event=survival_changed result=health:100->100,satiety:71->70,energy:31->30
tick=515 subject=M12 event=survival_changed result=health:100->100,satiety:46->45,energy:36->35
tick=516 subject=M01 event=survival_changed result=health:100->100,satiety:65->64,energy:25->24
tick=516 subject=M03 event=survival_changed result=health:100->100,satiety:75->74,energy:35->34
tick=516 subject=M04 event=survival_changed result=health:100->100,satiety:75->74,energy:35->34
tick=516 subject=M05 event=survival_changed result=health:100->100,satiety:90->89,energy:50->49
tick=516 subject=M06 event=survival_changed result=health:100->100,satiety:65->64,energy:35->34
tick=516 subject=M07 event=survival_changed result=health:100->100,satiety:75->74,energy:35->34
tick=516 subject=M08 event=survival_changed result=health:100->100,satiety:65->64,energy:25->24
tick=516 subject=M09 event=food_consumed result=food:F0300,class:low,satiety:75->90,energy:25->30
tick=516 subject=M09 event=survival_changed result=health:100->100,satiety:90->89,energy:30->29
tick=516 subject=M10 event=survival_changed result=health:100->100,satiety:55->54,energy:35->34
tick=516 subject=M11 event=food_consumed result=food:F0285,class:low,satiety:70->85,energy:30->35
tick=516 subject=M11 event=survival_changed result=health:100->100,satiety:85->84,energy:35->34
tick=516 subject=M12 event=survival_changed result=health:100->100,satiety:45->44,energy:35->34
tick=517 subject=M01 event=food_consumed result=food:F0295,class:low,satiety:64->79,energy:24->29
tick=517 subject=M01 event=survival_changed result=health:100->100,satiety:79->78,energy:29->28
tick=517 subject=M03 event=survival_changed result=health:100->100,satiety:74->73,energy:34->33
tick=517 subject=M04 event=survival_changed result=health:100->100,satiety:74->73,energy:34->33
tick=517 subject=M05 event=survival_changed result=health:100->100,satiety:89->88,energy:49->48
tick=517 subject=M06 event=survival_changed result=health:100->100,satiety:64->63,energy:34->33
tick=517 subject=M07 event=survival_changed result=health:100->100,satiety:74->73,energy:34->33
tick=517 subject=M08 event=survival_changed result=health:100->100,satiety:64->63,energy:24->23
tick=517 subject=M09 event=survival_changed result=health:100->100,satiety:89->88,energy:29->28
tick=517 subject=M10 event=survival_changed result=health:100->100,satiety:54->53,energy:34->33
tick=517 subject=M11 event=survival_changed result=health:100->100,satiety:84->83,energy:34->33
tick=517 subject=M12 event=survival_changed result=health:100->100,satiety:44->43,energy:34->33
tick=518 subject=M01 event=survival_changed result=health:100->100,satiety:78->77,energy:28->27
tick=518 subject=M03 event=survival_changed result=health:100->100,satiety:73->72,energy:33->32
tick=518 subject=M04 event=survival_changed result=health:100->100,satiety:73->72,energy:33->32
tick=518 subject=M05 event=survival_changed result=health:100->100,satiety:88->87,energy:48->47
tick=518 subject=M06 event=survival_changed result=health:100->100,satiety:63->62,energy:33->32
tick=518 subject=M07 event=survival_changed result=health:100->100,satiety:73->72,energy:33->32
tick=518 subject=M08 event=survival_changed result=health:100->100,satiety:63->62,energy:23->22
tick=518 subject=M09 event=survival_changed result=health:100->100,satiety:88->87,energy:28->27
tick=518 subject=M10 event=survival_changed result=health:100->100,satiety:53->52,energy:33->32
tick=518 subject=M11 event=survival_changed result=health:100->100,satiety:83->82,energy:33->32
tick=518 subject=M12 event=survival_changed result=health:100->100,satiety:43->42,energy:33->32
tick=519 subject=M01 event=survival_changed result=health:100->100,satiety:77->76,energy:27->26
tick=519 subject=M03 event=survival_changed result=health:100->100,satiety:72->71,energy:32->31
tick=519 subject=M04 event=survival_changed result=health:100->100,satiety:72->71,energy:32->31
tick=519 subject=M05 event=survival_changed result=health:100->100,satiety:87->86,energy:47->46
tick=519 subject=M06 event=survival_changed result=health:100->100,satiety:62->61,energy:32->31
tick=519 subject=M07 event=survival_changed result=health:100->100,satiety:72->71,energy:32->31
tick=519 subject=M08 event=survival_changed result=health:100->100,satiety:62->61,energy:22->21
tick=519 subject=M09 event=survival_changed result=health:100->100,satiety:87->86,energy:27->26
tick=519 subject=M10 event=food_consumed result=food:F0312,class:low,satiety:52->67,energy:32->37
tick=519 subject=M10 event=survival_changed result=health:100->100,satiety:67->66,energy:37->36
tick=519 subject=M11 event=survival_changed result=health:100->100,satiety:82->81,energy:32->31
tick=519 subject=M12 event=survival_changed result=health:100->100,satiety:42->41,energy:32->31
tick=520 subject=M01 event=survival_changed result=health:100->100,satiety:76->75,energy:26->25
tick=520 subject=M03 event=survival_changed result=health:100->100,satiety:71->70,energy:31->30
tick=520 subject=M04 event=survival_changed result=health:100->100,satiety:71->70,energy:31->30
tick=520 subject=M05 event=survival_changed result=health:100->100,satiety:86->85,energy:46->45
tick=520 subject=M06 event=survival_changed result=health:100->100,satiety:61->60,energy:31->30
tick=520 subject=M07 event=survival_changed result=health:100->100,satiety:71->70,energy:31->30
tick=520 subject=M08 event=survival_changed result=health:100->100,satiety:61->60,energy:21->20
