tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0146 event=food_initialized result=class:high,position:83:72,territory:B
tick=0 subject=F0147 event=food_initialized result=class:low,position:127:126,territory:B
tick=0 subject=F0148 event=food_initialized result=class:medium,position:41:88,territory:B
tick=0 subject=F0149 event=food_initialized result=class:high,position:100:66,territory:B
tick=0 subject=F0150 event=food_initialized result=class:low,position:22:67,territory:B
tick=0 subject=F0151 event=food_initialized result=class:medium,position:122:109,territory:B
tick=0 subject=F0152 event=food_initialized result=class:high,position:60:69,territory:B
tick=0 subject=F0153 event=food_initialized result=class:low,position:86:99,territory:B
tick=0 subject=F0154 event=food_initialized result=class:medium,position:100:117,territory:B
tick=0 subject=F0155 event=food_initialized result=class:high,position:41:115,territory:B
tick=0 subject=F0156 event=food_initialized result=class:low,position:56:83,territory:B
tick=0 subject=F0157 event=food_initialized result=class:medium,position:18:99,territory:B
tick=0 subject=F0158 event=food_initialized result=class:high,position:68:124,territory:B
tick=0 subject=F0159 event=food_initialized result=class:low,position:59:100,territory:B
tick=0 subject=F0160 event=food_initialized result=class:medium,position:48:64,territory:B
tick=0 subject=F0161 event=food_initialized result=class:high,position:72:110,territory:B
tick=0 subject=F0162 event=food_initialized result=class:low,position:81:77,territory:B
tick=0 subject=F0163 event=food_initialized result=class:medium,position:117:113,territory:B
tick=0 subject=F0164 event=food_initialized result=class:high,position:81:121,territory:B
tick=0 subject=F0165 event=food_initialized result=class:low,position:21:79,territory:B
tick=0 subject=F0166 event=food_initialized result=class:medium,position:8:96,territory:B
tick=0 subject=F0167 event=food_initialized result=class:high,position:7:93,territory:B
tick=0 subject=F0168 event=food_initialized result=class:low,position:85:117,territory:B
tick=0 subject=F0169 event=food_initialized result=class:medium,position:53:103,territory:B
tick=0 subject=F0170 event=food_initialized result=class:high,position:13:73,territory:B
tick=0 subject=F0171 event=food_initialized result=class:low,position:85:70,territory:B
tick=0 subject=F0172 event=food_initialized result=class:medium,position:122:116,territory:B
tick=0 subject=F0173 event=food_initialized result=class:high,position:114:66,territory:B
tick=0 subject=F0174 event=food_initialized result=class:low,position:117:114,territory:B
tick=0 subject=F0175 event=food_initialized result=class:medium,position:16:85,territory:B
tick=0 subject=F0176 event=food_initialized result=class:high,position:95:94,territory:B
tick=0 subject=F0177 event=food_initialized result=class:low,position:15:65,territory:B
tick=0 subject=F0178 event=food_initialized result=class:medium,position:67:127,territory:B
tick=0 subject=F0179 event=food_initialized result=class:high,position:69:70,territory:B
tick=0 subject=F0180 event=food_initialized result=class:low,position:13:81,territory:B
tick=0 subject=F0181 event=food_initialized result=class:medium,position:76:98,territory:B
tick=0 subject=F0182 event=food_initialized result=class:high,position:1:104,territory:B
tick=0 subject=F0183 event=food_initialized result=class:low,position:53:72,territory:B
tick=0 subject=F0184 event=food_initialized result=class:medium,position:73:99,territory:B
tick=0 subject=F0185 event=food_initialized result=class:high,position:5:88,territory:B
tick=0 subject=F0186 event=food_initialized result=class:low,position:58:122,territory:B
tick=0 subject=F0187 event=food_initialized result=class:medium,position:104:97,territory:B
tick=0 subject=F0188 event=food_initialized result=class:high,position:103:88,territory:B
tick=0 subject=F0189 event=food_initialized result=class:low,position:37:96,territory:B
tick=0 subject=F0190 event=food_initialized result=class:medium,position:9:71,territory:B
tick=0 subject=F0191 event=food_initialized result=class:high,position:114:74,territory:B
tick=0 subject=F0192 event=food_initialized result=class:low,position:15:114,territory:B
tick=0 subject=F0193 event=food_initialized result=class:medium,position:61:126,territory:B
tick=0 subject=F0194 event=food_initialized result=class:high,position:98:96,territory:B
tick=0 subject=F0195 event=food_initialized result=class:low,position:37:115,territory:B
tick=0 subject=F0196 event=food_initialized result=class:medium,position:119:93,territory:B
tick=0 subject=F0197 event=food_initialized result=class:high,position:59:103,territory:B
tick=0 subject=F0198 event=food_initialized result=class:low,position:108:118,territory:B
tick=0 subject=F0199 event=food_initialized result=class:medium,position:87:102,territory:B
tick=0 subject=F0200 event=food_initialized result=class:high,position:54:64,territory:B
tick=0 subject=F0201 event=food_initialized result=class:low,position:54:108,territory:B
tick=0 subject=F0202 event=food_initialized result=class:medium,position:115:84,territory:B
tick=0 subject=F0203 event=food_initialized result=class:high,position:94:96,territory:B
tick=0 subject=F0204 event=food_initialized result=class:low,position:52:104,territory:B
tick=0 subject=F0205 event=food_initialized result=class:medium,position:76:95,territory:B
tick=0 subject=F0206 event=food_initialized result=class:high,position:8:64,territory:B
tick=0 subject=F0207 event=food_initialized result=class:low,position:84:121,territory:B
tick=0 subject=F0208 event=food_initialized result=class:medium,position:52:101,territory:B
tick=0 subject=F0209 event=food_initialized result=class:high,position:50:85,territory:B
tick=0 subject=F0210 event=food_initialized result=class:low,position:109:117,territory:B
tick=0 subject=F0211 event=food_initialized result=class:medium,position:3:111,territory:B
tick=0 subject=F0212 event=food_initialized result=class:high,position:4:70,territory:B
tick=0 subject=F0213 event=food_initialized result=class:low,position:76:90,territory:B
tick=0 subject=F0214 event=food_initialized result=class:medium,position:10:124,territory:B
tick=0 subject=F0215 event=food_initialized result=class:high,position:8:105,territory:B
tick=0 subject=F0216 event=food_initialized result=class:low,position:45:113,territory:B
tick=0 subject=F0217 event=food_initialized result=class:medium,position:74:83,territory:B
tick=0 subject=F0218 event=food_initialized result=class:high,position:52:87,territory:B
tick=0 subject=F0219 event=food_initialized result=class:low,position:61:103,territory:B
tick=0 subject=F0220 event=food_initialized result=class:medium,position:52:100,territory:B
tick=0 subject=F0221 event=food_initialized result=class:high,position:36:124,territory:B
tick=0 subject=F0222 event=food_initialized result=class:low,position:76:99,territory:B
tick=0 subject=F0223 event=food_initialized result=class:medium,position:126:121,territory:B
tick=0 subject=F0224 event=food_initialized result=class:high,position:3:110,territory:B
tick=0 subject=F0225 event=food_initialized result=class:low,position:91:83,territory:B
tick=0 subject=F0226 event=food_initialized result=class:medium,position:86:113,territory:B
tick=0 subject=F0227 event=food_initialized result=class:high,position:87:96,territory:B
tick=0 subject=F0228 event=food_initialized result=class:low,position:103:107,territory:B
tick=0 subject=F0229 event=food_initialized result=class:medium,position:25:94,territory:B
tick=0 subject=F0230 event=food_initialized result=class:high,position:114:107,territory:B
tick=0 subject=F0231 event=food_initialized result=class:low,position:43:100,territory:B
tick=0 subject=F0232 event=food_initialized result=class:medium,position:51:112,territory:B
tick=0 subject=F0233 event=food_initialized result=class:high,position:75:102,territory:B
tick=0 subject=F0234 event=food_initialized result=class:low,position:6:69,territory:B
tick=0 subject=F0235 event=food_initialized result=class:medium,position:121:98,territory:B
tick=0 subject=F0236 event=food_initialized result=class:high,position:66:112,territory:B
tick=0 subject=F0237 event=food_initialized result=class:low,position:116:76,territory:B
tick=0 subject=F0238 event=food_initialized result=class:medium,position:67:116,territory:B
tick=0 subject=F0239 event=food_initialized result=class:high,position:8:87,territory:B
