tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0214 event=food_initialized result=class:medium,position:38:120,territory:B
tick=0 subject=F0215 event=food_initialized result=class:high,position:59:125,territory:B
tick=0 subject=F0216 event=food_initialized result=class:low,position:38:125,territory:B
tick=0 subject=F0217 event=food_initialized result=class:medium,position:18:69,territory:B
tick=0 subject=F0218 event=food_initialized result=class:high,position:96:66,territory:B
tick=0 subject=F0219 event=food_initialized result=class:low,position:126:81,territory:B
tick=0 subject=F0220 event=food_initialized result=class:medium,position:62:117,territory:B
tick=0 subject=F0221 event=food_initialized result=class:high,position:77:115,territory:B
tick=0 subject=F0222 event=food_initialized result=class:low,position:82:119,territory:B
tick=0 subject=F0223 event=food_initialized result=class:medium,position:79:94,territory:B
tick=0 subject=F0224 event=food_initialized result=class:high,position:36:94,territory:B
tick=0 subject=F0225 event=food_initialized result=class:low,position:63:105,territory:B
tick=0 subject=F0226 event=food_initialized result=class:medium,position:98:82,territory:B
tick=0 subject=F0227 event=food_initialized result=class:high,position:107:102,territory:B
tick=0 subject=F0228 event=food_initialized result=class:low,position:10:114,territory:B
tick=0 subject=F0229 event=food_initialized result=class:medium,position:71:99,territory:B
tick=0 subject=F0230 event=food_initialized result=class:high,position:122:109,territory:B
tick=0 subject=F0231 event=food_initialized result=class:low,position:17:98,territory:B
tick=0 subject=F0232 event=food_initialized result=class:medium,position:100:90,territory:B
tick=0 subject=F0233 event=food_initialized result=class:high,position:121:73,territory:B
tick=0 subject=F0234 event=food_initialized result=class:low,position:29:69,territory:B
tick=0 subject=F0235 event=food_initialized result=class:medium,position:32:78,territory:B
tick=0 subject=F0236 event=food_initialized result=class:high,position:21:82,territory:B
tick=0 subject=F0237 event=food_initialized result=class:low,position:63:93,territory:B
tick=0 subject=F0238 event=food_initialized result=class:medium,position:17:71,territory:B
tick=0 subject=F0239 event=food_initialized result=class:high,position:46:112,territory:B
tick=0 subject=F0240 event=food_initialized result=class:low,position:98:65,territory:B
tick=0 subject=F0241 event=food_initialized result=class:medium,position:97:78,territory:B
tick=0 subject=F0242 event=food_initialized result=class:high,position:71:115,territory:B
tick=0 subject=F0243 event=food_initialized result=class:low,position:86:68,territory:B
tick=0 subject=F0244 event=food_initialized result=class:medium,position:78:72,territory:B
tick=0 subject=M01 event=agent_initialized result=name:Zug,position:27:41,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:6
tick=0 subject=M02 event=agent_initialized result=name:Krul,position:121:51,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:8
tick=0 subject=M03 event=agent_initialized result=name:Quib,position:106:23,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:8
