tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0198 event=food_initialized result=class:low,position:35:92,territory:B
tick=0 subject=F0199 event=food_initialized result=class:medium,position:57:71,territory:B
tick=0 subject=F0200 event=food_initialized result=class:high,position:122:107,territory:B
tick=0 subject=F0201 event=food_initialized result=class:low,position:44:76,territory:B
tick=0 subject=F0202 event=food_initialized result=class:medium,position:56:93,territory:B
tick=0 subject=F0203 event=food_initialized result=class:high,position:92:88,territory:B
tick=0 subject=F0204 event=food_initialized result=class:low,position:54:97,territory:B
tick=0 subject=F0205 event=food_initialized result=class:medium,position:37:78,territory:B
tick=0 subject=F0206 event=food_initialized result=class:high,position:56:83,territory:B
tick=0 subject=F0207 event=food_initialized result=class:low,position:52:93,territory:B
tick=0 subject=F0208 event=food_initialized result=class:medium,position:16:110,territory:B
tick=0 subject=F0209 event=food_initialized result=class:high,position:125:94,territory:B
tick=0 subject=F0210 event=food_initialized result=class:low,position:30:115,territory:B
tick=0 subject=F0211 event=food_initialized result=class:medium,position:97:94,territory:B
tick=0 subject=F0212 event=food_initialized result=class:high,position:88:92,territory:B
tick=0 subject=F0213 event=food_initialized result=class:low,position:27:101,territory:B
tick=0 subject=F0214 event=food_initialized result=class:medium,position:120:91,territory:B
tick=0 subject=F0215 event=food_initialized result=class:high,position:29:107,territory:B
tick=0 subject=F0216 event=food_initialized result=class:low,position:75:71,territory:B
tick=0 subject=F0217 event=food_initialized result=class:medium,position:2:115,territory:B
tick=0 subject=F0218 event=food_initialized result=class:high,position:48:92,territory:B
tick=0 subject=F0219 event=food_initialized result=class:low,position:85:93,territory:B
tick=0 subject=F0220 event=food_initialized result=class:medium,position:75:84,territory:B
tick=0 subject=F0221 event=food_initialized result=class:high,position:127:121,territory:B
tick=0 subject=F0222 event=food_initialized result=class:low,position:112:72,territory:B
tick=0 subject=F0223 event=food_initialized result=class:medium,position:76:117,territory:B
tick=0 subject=F0224 event=food_initialized result=class:high,position:54:70,territory:B
tick=0 subject=F0225 event=food_initialized result=class:low,position:105:98,territory:B
tick=0 subject=F0226 event=food_initialized result=class:medium,position:33:101,territory:B
tick=0 subject=F0227 event=food_initialized result=class:high,position:51:85,territory:B
tick=0 subject=F0228 event=food_initialized result=class:low,position:127:102,territory:B
tick=0 subject=F0229 event=food_initialized result=class:medium,position:123:114,territory:B
tick=0 subject=F0230 event=food_initialized result=class:high,position:104:103,territory:B
tick=0 subject=F0231 event=food_initialized result=class:low,position:17:95,territory:B
tick=0 subject=F0232 event=food_initialized result=class:medium,position:104:86,territory:B
tick=0 subject=F0233 event=food_initialized result=class:high,position:115:67,territory:B
tick=0 subject=F0234 event=food_initialized result=class:low,position:86:72,territory:B
tick=0 subject=F0235 event=food_initialized result=class:medium,position:85:71,territory:B
tick=0 subject=F0236 event=food_initialized result=class:high,position:79:108,territory:B
tick=0 subject=F0237 event=food_initialized result=class:low,position:105:81,territory:B
tick=0 subject=F0238 event=food_initialized result=class:medium,position:39:108,territory:B
tick=0 subject=F0239 event=food_initialized result=class:high,position:3:70,territory:B
tick=0 subject=F0240 event=food_initialized result=class:low,position:122:71,territory:B
tick=0 subject=F0241 event=food_initialized result=class:medium,position:35:102,territory:B
tick=0 subject=F0242 event=food_initialized result=class:high,position:112:117,territory:B
tick=0 subject=F0243 event=food_initialized result=class:low,position:118:125,territory:B
tick=0 subject=F0244 event=food_initialized result=class:medium,position:127:107,territory:B
tick=0 subject=M01 event=agent_initialized result=name:Zug,position:77:33,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:26
tick=0 subject=M02 event=agent_initialized result=name:Krul,position:69:32,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:3
tick=0 subject=M03 event=agent_initialized result=name:Quib,position:90:5,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:22
tick=0 subject=M04 event=agent_initialized result=name:Sput,position:100:12,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:39
tick=0 subject=M05 event=agent_initialized result=name:Trok,position:48:19,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:39
tick=0 subject=M06 event=agent_initialized result=name:Womp,position:39:51,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:37
tick=0 subject=M07 event=agent_initialized result=name:Hozz,position:32:114,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:2
tick=0 subject=M08 event=agent_initialized result=name:Nurb,position:125:126,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:17
tick=0 subject=M09 event=agent_initialized result=name:Vonk,position:14:112,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:15
tick=0 subject=M10 event=agent_initialized result=name:Gorm,position:4:115,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:16
tick=0 subject=M11 event=agent_initialized result=name:Xob,position:51:90,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:28
tick=0 subject=M12 event=agent_initialized result=name:Drix,position:104:81,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:0
tick=0 subject=world event=decision_source_selected result=source:individual
