tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0194 event=food_initialized result=class:high,position:103:112,territory:B
tick=0 subject=F0195 event=food_initialized result=class:low,position:103:107,territory:B
tick=0 subject=F0196 event=food_initialized result=class:medium,position:102:105,territory:B
tick=0 subject=F0197 event=food_initialized result=class:high,position:95:75,territory:B
tick=0 subject=F0198 event=food_initialized result=class:low,position:76:103,territory:B
tick=0 subject=F0199 event=food_initialized result=class:medium,position:50:97,territory:B
tick=0 subject=F0200 event=food_initialized result=class:high,position:120:66,territory:B
tick=0 subject=F0201 event=food_initialized result=class:low,position:48:87,territory:B
tick=0 subject=F0202 event=food_initialized result=class:medium,position:113:82,territory:B
tick=0 subject=F0203 event=food_initialized result=class:high,position:4:64,territory:B
tick=0 subject=F0204 event=food_initialized result=class:low,position:122:110,territory:B
tick=0 subject=F0205 event=food_initialized result=class:medium,position:48:73,territory:B
tick=0 subject=F0206 event=food_initialized result=class:high,position:50:117,territory:B
tick=0 subject=F0207 event=food_initialized result=class:low,position:86:89,territory:B
tick=0 subject=F0208 event=food_initialized result=class:medium,position:123:87,territory:B
tick=0 subject=F0209 event=food_initialized result=class:high,position:86:110,territory:B
tick=0 subject=F0210 event=food_initialized result=class:low,position:104:98,territory:B
tick=0 subject=F0211 event=food_initialized result=class:medium,position:63:72,territory:B
tick=0 subject=F0212 event=food_initialized result=class:high,position:106:101,territory:B
tick=0 subject=F0213 event=food_initialized result=class:low,position:105:69,territory:B
tick=0 subject=F0214 event=food_initialized result=class:medium,position:53:121,territory:B
tick=0 subject=F0215 event=food_initialized result=class:high,position:25:92,territory:B
tick=0 subject=F0216 event=food_initialized result=class:low,position:68:106,territory:B
tick=0 subject=F0217 event=food_initialized result=class:medium,position:50:99,territory:B
tick=0 subject=F0218 event=food_initialized result=class:high,position:98:96,territory:B
tick=0 subject=F0219 event=food_initialized result=class:low,position:126:95,territory:B
tick=0 subject=F0220 event=food_initialized result=class:medium,position:18:91,territory:B
tick=0 subject=F0221 event=food_initialized result=class:high,position:45:70,territory:B
tick=0 subject=F0222 event=food_initialized result=class:low,position:111:99,territory:B
tick=0 subject=F0223 event=food_initialized result=class:medium,position:43:96,territory:B
tick=0 subject=F0224 event=food_initialized result=class:high,position:12:102,territory:B
tick=0 subject=F0225 event=food_initialized result=class:low,position:86:115,territory:B
tick=0 subject=F0226 event=food_initialized result=class:medium,position:101:104,territory:B
tick=0 subject=F0227 event=food_initialized result=class:high,position:124:67,territory:B
tick=0 subject=F0228 event=food_initialized result=class:low,position:63:92,territory:B
tick=0 subject=F0229 event=food_initialized result=class:medium,position:20:111,territory:B
tick=0 subject=F0230 event=food_initialized result=class:high,position:90:122,territory:B
tick=0 subject=F0231 event=food_initialized result=class:low,position:88:113,territory:B
tick=0 subject=F0232 event=food_initialized result=class:medium,position:76:85,territory:B
tick=0 subject=F0233 event=food_initialized result=class:high,position:101:95,territory:B
tick=0 subject=F0234 event=food_initialized result=class:low,position:93:81,territory:B
tick=0 subject=F0235 event=food_initialized result=class:medium,position:61:82,territory:B
tick=0 subject=F0236 event=food_initialized result=class:high,position:122:83,territory:B
tick=0 subject=F0237 event=food_initialized result=class:low,position:44:98,territory:B
tick=0 subject=F0238 event=food_initialized result=class:medium,position:106:78,territory:B
tick=0 subject=F0239 event=food_initialized result=class:high,position:63:114,territory:B
tick=0 subject=F0240 event=food_initialized result=class:low,position:25:81,territory:B
tick=0 subject=F0241 event=food_initialized result=class:medium,position:76:92,territory:B
tick=0 subject=F0242 event=food_initialized result=class:high,position:50:82,territory:B
tick=0 subject=F0243 event=food_initialized result=class:low,position:51:102,territory:B
tick=0 subject=F0244 event=food_initialized result=class:medium,position:71:88,territory:B
tick=0 subject=M01 event=agent_initialized result=position:20:44,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:36
tick=0 subject=M02 event=agent_initialized result=position:82:10,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:3
tick=0 subject=M03 event=agent_initialized result=position:62:3,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:7
tick=0 subject=M04 event=agent_initialized result=position:78:20,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:10
tick=0 subject=M05 event=agent_initialized result=position:3:16,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:30
tick=0 subject=M06 event=agent_initialized result=position:90:13,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:18
tick=0 subject=M07 event=agent_initialized result=position:63:117,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:36
tick=0 subject=M08 event=agent_initialized result=position:28:64,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:24
tick=0 subject=M09 event=agent_initialized result=position:61:69,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:0
tick=0 subject=M10 event=agent_initialized result=position:18:116,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:22
tick=0 subject=M11 event=agent_initialized result=position:61:108,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:8
tick=0 subject=M12 event=agent_initialized result=position:116:109,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:38
tick=0 subject=world event=decision_source_selected result=source:individual
